Team,TotalGames,TotalPtsFor,AvgPtsFor,TotalPtsAgainst,AvgPtsAgainst,HomeGames,HomePtsFor,HomeAvgPtsFor,HomeOffense,HomePtsAgainst,HomeAvgPtsAgainst,HomeDefense,AwayGames,AwayPtsFor,AwayAvgPtsFor,AwayOffense,AwayPtsAgainst,AwayAvgPtsAgainst,AwayDefense
CalPoly,10,249,24.9,354.0,35.4,5,161,32.2,0.9,178.0,35.6,1.4,5,88,17.6,0.8,176.0,35.2,1.0
EasternWashington,11,434,39.5,369.0,33.5,4,214,53.5,1.4,110.0,27.5,1.1,7,220,31.4,1.3,259.0,37.0,1.1
Idaho,11,248,22.5,353.0,32.1,6,184,30.7,0.8,160.0,26.7,1.0,5,64,12.8,0.5,193.0,38.6,1.1
IdahoState,11,260,23.6,380.0,34.5,5,169,33.8,0.9,131.0,26.2,1.0,6,91,15.2,0.6,249.0,41.5,1.2
Montana,11,417,37.9,258.0,23.5,6,278,46.3,1.2,114.0,19.0,0.7,5,139,27.8,1.2,144.0,28.8,0.8
MontanaState,11,357,32.5,244.0,22.2,5,206,41.2,1.1,110.0,22.0,0.8,6,151,25.2,1.1,134.0,22.3,0.6
NorthernArizona,11,393,35.7,436.0,39.6,5,198,39.6,1.1,134.0,26.8,1.0,6,195,32.5,1.4,302.0,50.3,1.5
NorthernColorado,11,220,20.0,425.0,38.6,4,77,19.3,0.5,121.0,30.3,1.2,7,150,21.4,0.9,304.0,43.4,1.3
PortlandState,11,370,33.6,307.0,27.9,6,256,42.7,1.1,130.0,21.7,0.8,5,114,22.8,1.0,177.0,35.4,1.0
SacramentoState,11,409,37.2,233.0,21.2,5,241,48.2,1.3,104.0,20.8,0.8,6,168,28.0,1.2,129.0,21.5,0.6
SouthernUtah,11,277,25.2,415.0,37.7,5,181,36.2,1.0,159.0,31.8,1.2,6,96,16.0,0.7,256.0,42.7,1.2
UCDavis,11,327,29.7,323.0,29.4,5,146,29.2,0.8,145.0,29.0,1.1,6,181,30.2,1.3,180.0,30.0,0.9
Weber,11,322,29.3,242.0,22.0,5,180,36.0,1.0,110.0,22.0,0.8,6,142,23.7,1.0,132.0,22.0,0.6
,,,,,,,,,,,,,,,,,,,
Total,142,4283,391.6,4339.0,397.7,66,2491,488.8,13.0,1706.0,339.3,13.0,76,1799,304.5,13.0,2635.0,448.8,13.0
Average,10.9,329.5,30.1,333.8,30.6,5.1,191.6,37.6,1.0,131.2,26.1,1.0,5.8,138.4,23.4,1.0,202.7,34.5,1.0
